time,time_s,INV_Power_On_Timer,INV_Torque_Feedback,INV_Commanded_Torque,INV_Run_Fault_Hi,INV_Post_Fault_Hi,INV_Run_Fault_Lo,INV_Post_Fault_Lo,INV_Direction_Command,INV_Inverter_Enable_State,INV_Relay_3_Status,INV_Relay_4_Status,INV_Relay_2_Status,INV_Inverter_Run_Mode,INV_Inverter_Command_Mode,INV_Relay_1_Status,INV_Inverter_State,INV_VSM_State,INV_Inverter_Enable_Lockout,INV_Inverter_Discharge_State,INV_Relay_5_Status,INV_Relay_6_Status,INV_BMS_Active,INV_BMS_Torque_Limiting,INV_Max_Speed_Limiting,INV_Low_Speed_Limiting,INV_Rolling_Counter,INV_PWM_Frequency,INV_Start_Mode_Active,INV_Reference_Voltage_12_0,INV_Reference_Voltage_5_0,INV_Reference_Voltage_2_5,INV_Reference_Voltage_1_5,INV_VBC_Vq_Voltage,INV_VAB_Vd_Voltage,INV_Output_Voltage,INV_DC_Bus_Voltage,INV_DC_Bus_Current,INV_Phase_C_Current,INV_Phase_B_Current,INV_Phase_A_Current,INV_Delta_Resolver_Filtered,INV_Electrical_Output_Frequency,INV_Motor_Speed,INV_Motor_Angle_Electrical,INV_Torque_Shudder,INV_Motor_Temperature,INV_RTD5_Temperature,INV_RTD4_Temperature,INV_RTD3_Temperature,INV_RTD2_Temperature,INV_RTD1_Temperature,INV_Control_Board_Temperature,INV_Gate_Driver_Board,INV_Module_C,INV_Module_B,INV_Module_A,INV_Fast_Torque_Command,INV_Fast_Torque_Feedback,INV_Fast_Motor_Speed,INV_Fast_DC_Bus_Voltage,INV_Diag_Record,INV_Diag_Segment,INV_Diag_Gamma_Resolver,INV_Diag_Gamma_Observer,INV_Diag_Sin,INV_Diag_Cos,INV_Diag_Ia,INV_Diag_Ib,INV_Diag_Ic,INV_Diag_Vdc,INV_Diag_Iq_cmd,INV_Diag_Id_cmd,INV_Diag_Mod_Index,INV_Diag_FW_Output,INV_Diag_Vq_Cmd,INV_Diag_Vd_Cmd,INV_Diag_Vqs_Cmd,INV_Diag_12V,INV_Diag_Run_Faults_Lo,INV_Diag_Run_Faults_Hi
2026-08-21T01:52:24.982Z,0.0,0.012,0.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-8.6,-10.3,-10.3,2.7,0.0,-3.0,319.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:24.993Z,0.011,0.024,0.6000000000000001,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-8.1,-10.0,-9.5,5.300000000000001,0.0,-3.0,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.006Z,0.024,0.036,0.9,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-7.5,-9.8,-10.0,7.6,0.0,-3.0,322.40000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.018Z,0.036,0.048,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-7.0,-9.7,-9.3,9.8,0.0,-2.0,322.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.030Z,0.048,0.06,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-6.5,-7.9,-8.1,11.8,0.0,-2.0,322.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.041Z,0.059,0.072,1.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-4.800000000000001,-6.7,-6.4,13.7,0.0,-2.0,322.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.054Z,0.072,0.084,1.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-5.5,-6.1000000000000005,-4.6000000000000005,15.4,0.0,-2.0,322.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.065Z,0.083,0.096,1.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,,,,,0.0,0.0,0.0,0.5,0.0,-5.1000000000000005,-6.1000000000000005,-6.4,17.0,0.0,-2.0,322.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.078Z,0.096,0.108,1.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,11.05,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.5,0.0,-4.2,-5.1000000000000005,-4.7,18.5,0.0,-1.0,322.5,0.0,18.2,0.0,0.0,0.9,295.8,295.8,19.6,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.097Z,0.115,0.12,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,11.05,5.0200000000000005,2.51,1.49,0.0,0.1,0.0,0.4,0.0,-5.0,-5.1000000000000005,-5.4,19.9,0.0,-1.0,322.5,0.0,18.2,0.0,0.0,0.9,295.8,295.8,19.6,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
