time,time_s,VCU_INV_Direction_Command,VCU_INV_Inverter_Discharge,VCU_INV_Inverter_Enable,VCU_INV_RollingCounter,VCU_INV_Speed_Command,VCU_INV_Speed_Mode_Enable,VCU_INV_Torque_Command,VCU_INV_Torque_Limit_Command
2026-08-22T22:03:47.677Z,0.0,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:47.687Z,0.01,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:47.692Z,0.015,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:47.706Z,0.029,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:47.716Z,0.039,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:47.736Z,0.059,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:47.736Z,0.059,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:47.747Z,0.07,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:47.767Z,0.09,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:47.767Z,0.09,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:47.778Z,0.101,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:47.798Z,0.121,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:47.798Z,0.121,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:47.809Z,0.132,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:47.830Z,0.153,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:47.830Z,0.153,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:47.841Z,0.164,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:47.862Z,0.185,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:47.862Z,0.185,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:47.873Z,0.196,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:47.893Z,0.216,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:47.893Z,0.216,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:47.904Z,0.227,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:47.925Z,0.248,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:47.925Z,0.248,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:47.936Z,0.259,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:47.956Z,0.279,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:47.956Z,0.279,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:47.967Z,0.29,0,0,0,4,0,0,0.0,0.0
