time,time_s,VCU_INV_Direction_Command,VCU_INV_Inverter_Discharge,VCU_INV_Inverter_Enable,VCU_INV_RollingCounter,VCU_INV_Speed_Command,VCU_INV_Speed_Mode_Enable,VCU_INV_Torque_Command,VCU_INV_Torque_Limit_Command
2026-08-22T22:21:27.736Z,0.0,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:27.747Z,0.011,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:27.752Z,0.016,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:27.768Z,0.032,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:27.778Z,0.042,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:27.781Z,0.045,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:27.795Z,0.059,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:27.804Z,0.068,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:27.822Z,0.086,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:27.835Z,0.099,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:27.842Z,0.106,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:27.845Z,0.109,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:27.856Z,0.12,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:27.862Z,0.126,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:27.878Z,0.142,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:27.889Z,0.153,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:27.893Z,0.157,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:27.908Z,0.172,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:27.917Z,0.181,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:27.935Z,0.199,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:27.935Z,0.199,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:27.948Z,0.212,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:27.968Z,0.232,0,0,0,4,0,0,0.0,0.0
